!THEORY;I Suoni del Tedesco 🗣️|EI si legge AI (Wein -> Vain)|IE si legge come una I lunga (Liebe -> Liibe)|EU/ÄU si leggono OY (Euro -> Oyro)|V si legge F (Vater -> Fater)|S a inizio parola si legge come il ronzio di una zanzara (Sonne -> Zzonne).
Il vino;Der Wein;EI si legge AI
Mio;Mein;EI si legge AI
No;Nein;EI si legge AI
L'amore;Die Liebe;IE è una I lunga
Sette;Sieben;IE è una I lunga
L'Europa;Europa;EU si legge OY
Il tedesco (lingua);Deutsch;EU si legge OY
Gli alberi;Die Bäume;ÄU si legge OY
Il padre;Der Vater;La V si legge F
Molto (quantità);Viel;La V si legge F
Quattro;Vier;La V si legge F
Il sole;Die Sonne;S sonora (tipo zanzara)
L'insalata;Der Salat;S sonora
Il sale;Das Salz;S sonora (Z si legge TZ)
Lo zoo;Der Zoo;Z si legge TZ
Il tempo;Die Zeit;Z si legge TZ (Tzait)
Io;Ich;CH morbido (palato)
Anche;Auch;CH duro (gola) dopo a,o,u
La notte;Die Nacht;CH duro
La via / La strada;Die Straße;ß è una doppia S
