!THEORY;Articoli Determinativi e Indeterminativi 📝|In tedesco non basta "Il/La".|Maschile: Der (Il) -> Ein (Un)|Femminile: Die (La) -> Eine (Una)|Neutro: Das (Il/Lo) -> Ein (Un)|Nota: Al nominativo (soggetto), Maschile e Neutro indeterminati sono uguali (Ein)!
L'uomo;Der Mann;Maschile
Una donna;Eine Frau;Femminile (Eine)
Un bambino;Ein Kind;Neutro (Ein)
Il tavolo;Der Tisch;Maschile
Un tavolo;Ein Tisch;Maschile Indeterminato
La lampada;Die Lampe;Femminile
Una lampada;Eine Lampe;Femminile Indeterminata
Il libro;Das Buch;Neutro
Un libro;Ein Buch;Neutro Indeterminato
Il padre;Der Vater;Maschile
Un padre;Ein Vater;Maschile
La madre;Die Mutter;Femminile
Una madre;Eine Mutter;Femminile
La macchina;Das Auto;Neutro (Das)
Un'auto;Ein Auto;Neutro (Ein)
