La famiglia;Die Familie
I genitori;Die Eltern
Il padre;Der Vater
La madre;Die Mutter
Il fratello;Der Bruder
La sorella;Die Schwester
I fratelli (in generale);Die Geschwister
Il figlio;Der Sohn
La figlia;Die Tochter
Il nonno;Der Opa
La nonna;Die Oma
I nonni;Die Großeltern
Lo zio;Der Onkel
La zia;Die Tante
Il marito;Der Mann
La moglie;Die Frau
L'amico;Der Freund
L'amica;Die Freundin
Il vicino di casa;Der Nachbar
Il bambino;Das Kind
Sono sposato;Ich bin verheiratet
Sono single;Ich bin ledig
Ho due figli;Ich habe zwei Kinder
Questo è mio padre;Das ist mein Vater
Questa è mia madre;Das ist meine Mutter
