!THEORY;Attenzione ai "Verbi Forti" 💪|Molti verbi importanti cambiano la vocale alla 2ª e 3ª persona singolare.|E -> I (Essen -> Du Isst)|A -> Ä (Schlafen -> Du Schläfst)|La desinenza resta spesso uguale, ma la radice cambia!
Essere;Sein;Il più irregolare di tutti (Ich bin, Du bist)
Avere;Haben;Perde la 'b' (Du hast, Er hat)
Mangiare;Essen;La E diventa I (Du isst)
Parlare;Sprechen;La E diventa I (Du sprichst)
Aiutare;Helfen;La E diventa I (Du hilfst)
Vedere;Sehen;La E diventa IE (Du siehst)
Leggere;Lesen;La E diventa IE (Du liest)
Dormire;Schlafen;La A diventa Ä (Du schläfst)
Guidare / Andare (mezzo);Fahren;La A diventa Ä (Du fährst)
Lavare;Waschen;La A diventa Ä (Du wäschst)
Correre;Laufen;AU diventa ÄU (Du läufst)
Prendere;Nehmen;Irregolarissimo: (Du nimmst)
Io sono;Ich bin;Irregolare
Tu sei;Du bist;Irregolare
Io mangio;Ich esse;E -> I
Tu mangi;Du isst;E -> I
Lui dorme;Er schläft;A -> Ä
Tu parli;Du sprichst;E -> I
Loro sono;Sie sind;Irregolare
