L'appartamento;Die Wohnung
La stanza;Das Zimmer
Il soggiorno;Das Wohnzimmer
Il tavolo;Der Tisch
La sedia;Der Stuhl
Il letto;Das Bett
L'armadio;Der Schrank
Il divano;Das Sofa
La lampada;Die Lampe
La finestra;Das Fenster
La porta;Die Tür
Il frigorifero;Der Kühlschrank
La lavatrice;Die Waschmaschine
Il balcone;Der Balkon
Il giardino;Der Garten
La chiave;Der Schlüssel
A casa (stato in luogo);Zu Hause
Vado a casa (moto a luogo);Ich gehe nach Hause
Abito a Berlino;Ich wohne in Berlin
La porta è aperta;Die Tür ist offen
La finestra è chiusa;Das Fenster ist zu
L'affitto;Die Miete
Grande e luminoso;Groß und hell
