!THEORY;Il Passato Prossimo (Perfekt) 🕒|In tedesco il Perfekt si forma con:|HABEN + Participio Passato (per la maggior parte dei verbi)|SEIN + Participio Passato (verbi di movimento e stato: gehen, fahren, sein, bleiben)|Participio: ge + radice + t (regolari) o ge + radice + en (irregolari)
Ho mangiato una mela;Ich habe einen Apfel gegessen;HABEN + gegessen
Sono andato a casa;Ich bin nach Hause gegangen;SEIN + verbo movimento
Ho bevuto acqua;Ich habe Wasser getrunken;HABEN + getrunken
Lui è stato a Berlino;Er ist in Berlin gewesen;SEIN + stato (essere)
Abbiamo dormito bene;Wir haben gut geschlafen;HABEN + geschlafen
Sei venuto presto;Du bist früh gekommen;SEIN + verbo movimento
Ho fatto i compiti;Ich habe die Hausaufgaben gemacht;HABEN + gemacht
Siamo rimasti a casa;Wir sind zu Hause geblieben;SEIN + stato (rimanere)
Hai comprato pane?;Hast du Brot gekauft?;HABEN + gekauft
Lei è partita ieri;Sie ist gestern abgefahren;SEIN + verbo movimento
Ho lavorato tutto il giorno;Ich habe den ganzen Tag gearbeitet;HABEN + gearbeitet
Sono nato nel 1990;Ich bin 1990 geboren;SEIN + nascere (stato)
Abbiamo visto un film;Wir haben einen Film gesehen;HABEN + gesehen
Sono caduto dalle scale;Ich bin von der Treppe gefallen;SEIN + verbo movimento
Hai scritto una lettera;Du hast einen Brief geschrieben;HABEN + geschrieben
È morto l'anno scorso;Er ist letztes Jahr gestorben;SEIN + stato (morire)
Ho imparato il tedesco;Ich habe Deutsch gelernt;HABEN + gelernt
Siamo arrivati tardi;Wir sind spät angekommen;SEIN + verbo movimento
Ha chiamato sua madre;Er hat seine Mutter angerufen;HABEN + angerufen
Siete cresciuti qui?;Seid ihr hier aufgewachsen?;SEIN + crescere (stato)
