!THEORY;I Verbi Modali 🎯|können = potere (capacità)|müssen = dovere (necessità)|wollen = volere|sollen = dovere (consiglio/ordine)|dürfen = potere (permesso)|mögen/möchten = piacere/vorrei|Struttura: MODALE coniugato + INFINITO alla fine
Posso parlare tedesco;Ich kann Deutsch sprechen;können = capacità
Devo lavorare domani;Ich muss morgen arbeiten;müssen = necessità
Voglio comprare una casa;Ich will ein Haus kaufen;wollen = volere
Devi andare dal dottore;Du sollst zum Arzt gehen;sollen = consiglio
Posso entrare?;Darf ich reinkommen?;dürfen = permesso
Vorrei un caffè;Ich möchte einen Kaffee;möchten = vorrei
Non puoi fumare qui;Du darfst hier nicht rauchen;dürfen negativo = divieto
Dobbiamo studiare;Wir müssen lernen;müssen = obbligo
Vuole venire con noi?;Will er mit uns kommen?;wollen = volere
Posso aiutarti;Ich kann dir helfen;können + Dativo
Non devi fare rumore;Du sollst keinen Lärm machen;sollen = dovere morale
Vorrebbe del vino;Er möchte Wein;möchten educato
Sappiamo cucinare;Wir können kochen;können = saper fare
Devo alzarmi presto;Ich muss früh aufstehen;müssen + verbo separabile
Vuoi qualcosa da bere?;Willst du etwas trinken?;wollen + infinito
Possiamo restare?;Dürfen wir bleiben?;dürfen = permesso
Dovresti chiamarlo;Du solltest ihn anrufen;sollen al Konjunktiv II
Potrei aiutarti;Ich könnte dir helfen;können al Konjunktiv II
Mi piace la musica;Ich mag Musik;mögen senza infinito
Non voglio andare;Ich will nicht gehen;wollen negativo
