!THEORY;Le Frasi Subordinate (Nebensätze) 📝|Nella frase subordinata il VERBO va SEMPRE alla FINE!|Congiunzioni comuni: weil (perché), dass (che), wenn (se/quando), ob (se), als (quando-passato)|Attenzione: nella principale dopo la subordinata, il verbo va subito (inversione!)
Perché sei stanco?;Warum bist du müde?;Frase principale: verbo 2° posto
Sono stanco perché ho lavorato;Ich bin müde, weil ich gearbeitet habe;weil + verbo finale
So che parli tedesco;Ich weiß, dass du Deutsch sprichst;dass + verbo finale
Se piove, resto a casa;Wenn es regnet, bleibe ich zu Hause;wenn + inversione
Non so se viene;Ich weiß nicht, ob er kommt;ob + verbo finale
Quando ero piccolo;Als ich klein war;als (passato) + verbo finale
Anche se è difficile;Obwohl es schwierig ist;obwohl + verbo finale
Prima che tu parta;Bevor du abfährst;bevor + verbo finale
Dopo che ha mangiato;Nachdem er gegessen hat;nachdem + verbo finale
Penso che sia giusto;Ich denke, dass es richtig ist;dass + verbo finale
Poiché non ho tempo;Da ich keine Zeit habe;da (causale) + verbo finale
Affinché tu capisca;Damit du verstehst;damit + verbo finale
Mentre studiavo;Während ich lernte;während + verbo finale
Se avessi tempo;Wenn ich Zeit hätte;wenn + Konjunktiv II
Non so dove abita;Ich weiß nicht, wo er wohnt;wo + verbo finale
Dimmi quando arrivi;Sag mir, wann du ankommst;wann + verbo finale
Non capisco come funziona;Ich verstehe nicht, wie es funktioniert;wie + verbo finale
La ragazza che conosco;Das Mädchen, das ich kenne;das (relativo) + verbo finale
L'uomo con cui parlo;Der Mann, mit dem ich spreche;relativo + verbo finale
Sebbene sia tardi;Obwohl es spät ist;obwohl + verbo finale
