!THEORY;Preposizioni Temporali - La Trappola del "DA" ⏰|Italiano "DA" = 4 traduzioni diverse in tedesco!|VON...BIS = da...a (periodo definito)|SEIT = da (durata continua dal passato)|AB = da (punto futuro in poi)|AUS = da (provenienza)|⚠️ Per italiani: questa è una delle difficoltà maggiori!
Da lunedì a venerdì;Von Montag bis Freitag;Periodo definito: von...bis
Da 5 anni vivo qui;Ich wohne seit 5 Jahren hier;Durata continua: seit + Dativo
Da domani cambio lavoro;Ab morgen wechsle ich den Job;Punto futuro: ab + Dativo
Vengo da Roma;Ich komme aus Rom;Provenienza: aus + Dativo
Dall'inizio alla fine;Vom Anfang bis zum Ende;von...bis
Studio tedesco da 2 anni;Ich lerne seit 2 Jahren Deutsch;seit (durata)
Dal 2020 in poi;Ab 2020;ab (da quel momento)
Dalle 9 alle 17;Von 9 bis 17 Uhr;von...bis (orario)
Da quando sei qui?;Seit wann bist du hier?;seit (durata)
Da oggi sono vegetariano;Ab heute bin ich Vegetarier;ab (da ora in poi)
Dalla mattina alla sera;Vom Morgen bis zum Abend;von...bis
Aspetto da un'ora;Ich warte seit einer Stunde;seit (durata)
A partire da marzo;Ab März;ab (inizio futuro)
Dalla Germania;Aus Deutschland;aus (provenienza)
Da bambino giocavo qui;Als Kind spielte ich hier;⚠️ Non "da" ma "als"!
Dal mio punto di vista;Aus meiner Sicht;aus (punto di vista)
Lavoro da casa;Ich arbeite von zu Hause;von (da dove)
È fatto da me;Es ist von mir gemacht;von (agente passivo)
Da solo non ce la faccio;Allein schaffe ich es nicht;⚠️ Non "da" ma "allein"!
Fin da piccolo;Seit der Kindheit;seit (da tanto tempo)
