!THEORY;Il Congiuntivo II (Konjunktiv II) 💭|Uso: desideri irreali, consigli educati, situazioni ipotetiche|Formazione: würde + infinito (forma generale)|Verbi modali e sein/haben: forme speciali (wäre, hätte, könnte, sollte, müsste)|⚠️ Per italiani: si usa MOLTO più che in italiano!
Vorrei un caffè;Ich hätte gern einen Kaffee;hätte (avere al Kong. II)
Se avessi tempo;Wenn ich Zeit hätte;hätte (ipotesi irreale)
Sarei contento;Ich wäre glücklich;wäre (essere al Kong. II)
Potrei aiutarti;Ich könnte dir helfen;könnte (potere al Kong. II)
Dovresti studiare;Du solltest lernen;solltest (dovere al Kong. II)
Dovrei andare;Ich müsste gehen;müsste (dovere al Kong. II)
Se fossi ricco;Wenn ich reich wäre;wäre (ipotesi)
Verrei volentieri;Ich würde gern kommen;würde + infinito
Faresti questo?;Würdest du das machen?;würdest + infinito
Se avesse più soldi, comprerebbe una casa;Wenn er mehr Geld hätte, würde er ein Haus kaufen;Kong. II misto
Sarebbe meglio;Es wäre besser;wäre
Al tuo posto, lo farei;An deiner Stelle würde ich es machen;Consiglio: würde
Come se fosse vero;Als ob es wahr wäre;als ob + Kong. II
Mi piacerebbe viaggiare;Ich würde gern reisen;würde gern
Se solo lo sapessi!;Wenn ich es nur wüsste!;wüsste (sapere al Kong. II)
Dovrebbe essere possibile;Es sollte möglich sein;sollte
Potrebbe essere difficile;Es könnte schwierig sein;könnte
Quasi cadevo;Ich wäre fast gefallen;wäre + Partizip (passato ipotetico)
Avrei voluto venire;Ich wäre gern gekommen;wäre + Partizip
Se lo avessi saputo!;Hätte ich es gewusst!;Plusquamperfekt Konjunktiv
