!THEORY;Quiz Passivo e Reggenza Verbale 🎯|Passivo: werden/wurde/ist...worden + Participio|Rektion: preposizioni fisse da imparare a memoria!
Il libro ___ letto (presente);wird gelesen;ist gelesen;war gelesen;Passivo presente: wird + Part.
La porta ___ aperta (stata - stato);ist geöffnet;wird geöffnet;war geöffnet;Stato: sein + Part.
La lettera ___ scritta (processo - preterito);wurde geschrieben;ist geschrieben;war geschrieben;Preterito: wurde + Part.
Passivo di "kaufen" al Perfekt;ist gekauft worden;wurde gekauft;wird gekauft;Perfekt: ist...worden
Penso ___ te (preposizione);an;auf;über;denken AN + Acc.
Aspetto ___ treno (preposizione);auf den;an den;über den;warten AUF + Acc.
Mi interesso ___ sport;für;an;auf;sich interessieren FÜR
Mi rallegro ___ regalo ricevuto;über das;auf das;an das;freuen ÜBER (già avvenuto)
Non vedo l'ora ___ vacanze;auf die;über die;an die;freuen AUF (futuro)
Partecipo ___ corso;an dem;auf dem;über dem;teilnehmen AN + Dat.
Ho paura ___ esame;vor dem;an dem;über dem;Angst vor + Dat.
Mi occupo ___ problema;um das;an das;über das;kümmern UM + Acc.
Rinuncio ___ viaggio;auf die;an die;über die;verzichten AUF + Acc.
Sono orgoglioso ___ figlio;auf meinen;über meinen;an meinen;stolz AUF + Acc.
Dipende ___ situazione;von der;an der;auf der;abhängen VON + Dat.
