!THEORY;Modi di Dire Tedeschi 🦅|Espressioni idiomatiche non traducibili letteralmente|Fondamentali per raggiungere un livello C2|⚠️ Uso scorretto = subito riconosciuto come non madrelingua
Avere il pelo sullo stomaco (spregiudicato);Ein dickes Fell haben;Letteralmente: avere una pelle spessa
Vivere alla grande;Auf großem Fuß leben;Letteralmente: vivere su un piede grande
Non avere peli sulla lingua;Kein Blatt vor den Mund nehmen;Letteralmente: non prendere foglia davanti alla bocca
Costare un occhio della testa;Ein Vermögen kosten;Letteralmente: costare una fortuna
Piovere a catinelle;Es regnet in Strömen;Letteralmente: piove a fiumi
Non capire niente;Nur Bahnhof verstehen;Letteralmente: capire solo "stazione"
Avere culo (fortuna);Schwein haben;Letteralmente: avere maiale
Essere al verde;Auf dem Trockenen sitzen;Letteralmente: sedere sull'asciutto
Fare orecchie da mercante;Auf Durchzug schalten;Letteralmente: passare in modalità corrente d'aria
Avere la testa tra le nuvole;Den Kopf in den Wolken haben;Letteralmente: avere la testa nelle nuvole
Alzare i tacchi (andarsene);Die Fliege machen;Letteralmente: fare la mosca
Parlare turco (incomprensibile);Böhmische Dörfer;Letteralmente: villaggi boemi
Toccare ferro;Auf Holz klopfen;Letteralmente: bussare sul legno
In bocca al lupo!;Hals- und Beinbruch!;Letteralmente: rottura di collo e gamba!
Non essere nato ieri;Nicht von gestern sein;Letteralmente: non essere di ieri
Gettare la spugna;Das Handtuch werfen;Letteralmente: gettare l'asciugamano
Avere il dente avvelenato;Einen Zahn auf jemanden haben;Letteralmente: avere un dente contro qualcuno
Sudare sette camicie;Sich einen abbrechen;Letteralmente: spezzarsene uno
Essere sulla bocca di tutti;In aller Munde sein;Letteralmente: essere in tutte le bocche
Rigare dritto;Auf dem Teppich bleiben;Letteralmente: rimanere sul tappeto
