!THEORY;Quiz Particelle e Idiomi 🎯|Le particelle danno sfumature emotive|Gli idiomi NON si traducono letteralmente
"Komm ___ mit!" (insistenza);doch;mal;ja;doch = insistenza amichevole
"Das ist ___ klar!" (ovvio);doch;mal;eben;doch = ovvietà enfatica
"Was willst du ___?" (sorpresa);denn;doch;mal;denn = sorpresa/curiosità
"Das ist ___ so" (inevitabile);eben;doch;denn;eben/halt = così è
"Ein dickes Fell haben" significa?;Essere spregiudicato;Essere grasso;Avere freddo;Idioma: persona cinica
"Schwein haben" significa?;Avere fortuna;Essere sporco;Avere un maiale;Idioma: aver fortuna
"Nur Bahnhof verstehen"?;Non capire niente;Capire i treni;Essere alla stazione;Idioma: non capire
"Kein Blatt vor den Mund nehmen"?;Parlare francamente;Non mangiare foglie;Non leggere;Idioma: dire senza peli sulla lingua
"Hals- und Beinbruch!"?;In bocca al lupo!;Attento!;Mi dispiace!;Augurio: come "in bocca al lupo"
"Die Fliege machen"?;Andarsene;Uccidere mosche;Volare via;Idioma: svignarsela
Particella in "Komm mal her!";mal;doch;eben;mal = sollecitazione gentile
"Auf großem Fuß leben"?;Vivere alla grande;Avere piedi grandi;Camminare molto;Idioma: vita lussuosa
"Das Handtuch werfen"?;Arrendersi;Lavare asciugamani;Giocare;Idioma: gettare la spugna
"Böhmische Dörfer"?;Incomprensibile;Villaggi belli;Viaggi;Idioma: parlare arabo
"Eigentlich" esprime?;A dire il vero;Veramente;Propriamente;Particella: in realtà/comunque
